Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
HamburgerName,string,0,1,A name for the Hamburger,,,,,,,,,,,,,
Description,string,0,1,A description of the Hamburger,,,,,,,,,,,,,
Enclosure,Breading,0,1,Type of enclosure of the hamburger,,,,,,,,,,,,,
Patty,Protein,1,n,The type of protein,,true,,,,,,,,,,,
Sauce,Condiment,0,n,Sauces and other liquid toppings,,,,,,,,,,,,,
CheeseUsed,Cheese,0,n,Cheese slices placed on the hamburger,,,,,,,,,,,,,
DateTime,dateTime,0,1,Date hamburger is produced,,,,,,,,,,,,,
Date,date,0,1,Testing date,,,,,,,,,,,,,
Gyear,gYear,0,1,Testing year,,,,,,,,,,,,,
Duration,duration,0,1,Testing duration,,,,,,,,,,,,,
